catchment_id,train_coverage,validation_coverage,test_coverage,train_q95_m3_s,train_high_flow_days,validation_high_flow_days,test_high_flow_days,nonzero_train_days,negative_values,selection_score
17011,1.0,1.0,0.864184008762322,58.974999999999675,329,23,74,6533,0,0.864184008762322
17012,1.0,1.0,0.5690032858707558,37.76,327,51,37,1599,0,0.5690032858707558
17015,1.0,1.0,0.6894852135815991,7.587999999999957,329,69,47,998,0,0.6894852135815991
17019,1.0,1.0,0.9058050383351588,55.80299999999999,329,48,103,6060,0,0.9058050383351588
17022,1.0,1.0,0.6423877327491785,48.95699999999994,329,36,34,3739,0,0.6423877327491785
17024,1.0,1.0,0.5142387732749178,47.06899999999998,329,39,34,1099,0,0.5142387732749178
04016,0.9998479087452471,0.6829134720700986,0.05805038335158817,989.46005,329,50,24,6557,0,0.05805038335158817
10011,0.9998479087452471,1.0,0.907447973713034,160.17499999999973,329,198,217,5446,0,0.907447973713034
10014,0.9996958174904943,0.9485213581599123,0.8023001095290252,85.69999999999982,329,194,138,5499,0,0.8023001095290252
03064,0.9995437262357414,0.9446878422782037,0.9441401971522454,81.03049999999998,329,164,42,6082,0,0.9441401971522454
12018,0.9995437262357414,0.8565169769989047,0.9222343921139102,162.13499999999996,329,190,132,6496,0,0.8565169769989047
12043,0.9987832699619772,0.9928806133625411,0.9030668127053669,233.4499999999999,329,129,56,6451,0,0.9030668127053669
03081,0.9983269961977186,0.916210295728368,0.9304490690032858,367.59499999999963,329,114,57,5102,0,0.916210295728368
08020,0.9971102661596958,1.0,1.0,282.5775,328,155,114,4035,0,0.9971102661596958
08034,0.9968060836501901,1.0,1.0,2594.149999999995,328,95,43,6554,0,0.9968060836501901
14005,0.9966539923954373,0.6380065717415115,0.36801752464403065,548.0887999999998,328,76,34,5996,0,0.36801752464403065
12020,0.9965019011406844,1.0,0.9173055859802848,3890.149999999995,328,79,13,6552,0,0.9173055859802848
03024,0.9963498098859316,1.0,0.4813800657174151,7.375,328,217,0,1473,0,0.4813800657174151
08031,0.9963498098859316,0.9824753559693319,0.9693318729463308,318.15,328,87,58,6279,0,0.9693318729463308
03073,0.995893536121673,1.0,0.8888280394304491,9448.498999999987,328,169,53,6540,0,0.8888280394304491
03074,0.9948288973384031,0.5558598028477546,0.5394304490690033,489.6,327,78,51,6100,0,0.5394304490690033
10004,0.9933079847908746,0.8866374589266156,0.18619934282584885,244.39,326,18,17,3782,0,0.18619934282584885
16001,0.9931558935361217,0.875684556407448,0.7135815991237678,77.71499999999978,327,184,126,5228,0,0.7135815991237678
08009,0.9925475285171103,0.9550930996714129,0.9972617743702081,150.935,327,55,50,5717,0,0.9550930996714129
08013,0.9914828897338404,1.0,0.9989047097480832,1585.3029999999997,326,53,89,6519,0,0.9914828897338404
08036,0.9914828897338404,0.9616648411829135,0.9972617743702081,485.98099999999954,326,86,52,6397,0,0.9616648411829135
08035,0.990874524714829,1.0,1.0,657.9399999999972,326,128,76,6433,0,0.990874524714829
08016,0.9901140684410646,1.0,1.0,962.6009999999999,326,80,87,6510,0,0.9901140684410646
08038,0.9893536121673003,0.767250821467689,0.9950711938663745,7394.14999999999,326,38,79,6505,0,0.767250821467689
03030,0.9867680608365019,0.7464403066812705,0.968236582694414,162.66499999999996,325,115,54,6026,0,0.7464403066812705
13004,0.9861596958174905,1.0,0.8061336254107339,636.3249999999997,325,145,69,5988,0,0.8061336254107339
08023,0.983574144486692,0.9934282584884995,0.9857612267250822,48.567,324,56,22,5178,0,0.983574144486692
08001,0.9812927756653992,0.9994523548740416,0.9978094194961665,50.017999999999994,323,75,68,6251,0,0.9812927756653992
14008,0.9790114068441065,1.0,0.8050383351588171,208.1599999999998,322,54,46,6436,0,0.8050383351588171
08011,0.977490494296578,1.0,0.9978094194961665,1353.5199999999998,322,155,66,6288,0,0.977490494296578
08005,0.9761216730038023,0.9660460021905805,0.9561883899233297,213.02249999999995,321,60,35,5463,0,0.9561883899233297
08028,0.9746007604562738,0.9693318729463308,1.0,145.07149999999996,321,135,92,5075,0,0.9693318729463308
04003,0.973384030418251,0.6029572836801752,0.8209200438116101,1479.4499999999935,320,53,53,2349,0,0.6029572836801752
04048,0.973384030418251,0.6029572836801752,0.7475355969331873,584.1449999999994,320,62,65,2278,0,0.6029572836801752
04056,0.973384030418251,0.5136911281489595,0.5690032858707558,808.9699999999975,320,77,75,2225,0,0.5136911281489595
03098,0.9724714828897338,0.7732749178532311,0.3559693318729463,137.2849999999994,320,118,0,5779,0,0.3559693318729463
03082,0.970190114068441,0.8253012048192772,0.7962760131434831,94.08899999999925,319,129,45,3644,0,0.7962760131434831
03089,0.9700380228136882,0.8242059145673604,0.7661555312157722,90.57699999999993,319,151,53,3597,0,0.7661555312157722
14001,0.9665399239543726,0.6944140197152245,0.5350492880613362,440.0,316,48,78,6259,0,0.5350492880613362
